채용공고고유번호,기업정보URL,기업명,채용공고제목,업종직종정보명,경력조건정보명,경력년수정보명,경력년수,급여유형정보명,급여수준정보명,급여수준명,연봉면접결정여부,학력제한정보명,해당채용공고키워드명,상세내용,접수방법정보명,근무형태명,모집인원명,채용직급직책명,근무지역명,서류접수마감일자,잡코리아채용공고URL,잡코리아채용공고QR코드내용,채용공고등록일자,채용공고최종수정일자,조회수,공유수,사업자등록번호,등록저장일시,수정저장일시,사용여부,삭제여부,데이터기준일자
36668799,http://www.jobkorea.co.kr/Recruit/Co_Read/C/isvikorea?Oem_Code=C900&api=232,㈜ISVI,산업용카메라 개발 부문별 경력사원 채용,,경력,4년 이상,4,회사 내규에 따름,,0;0,Y,대졸(2~3년),신호처리;영상처리;디스플레이;회로설계;하드웨어;FPGA;펌웨어;Analog;Digital,,잡코리아 온라인 접수,정규직,○,주임~대리급; 과장~차장급; 팀원,군포시     ,2021-02-04,http://www.jobkorea.co.kr/Recruit/GI_Read/33120069?Oem_Code=C900&api=232,,2020-11-06,2021-02-01,0,0,123-**-*****,2021-02-02 02:00,2021-02-03 02:00,Y,Y,2021-02-02
36723011,http://www.jobkorea.co.kr/Recruit/Co_Read/C/synergy5500?Oem_Code=C900&api=232,시너지부동산중개법인,빌딩매입매각 기업사옥이전 투자자문 자산관리 부동산중개 인재모집,,관계없음,,0,회사 내규에 따름,,0;0,N,학력무관,공인중개사;매입매각;부동산금융;부동산중개;부동산컨설팅;국내영업;납품영업;법인영업;일반영업;부동산영업;매입·매각;부동산개발,,잡코리아 온라인 접수,정규직,2,,강남구; 서울특별시 전지역; 경기도 전지역,2021-02-11,http://www.jobkorea.co.kr/Recruit/GI_Read/33180891?Oem_Code=C900&api=232,,2020-11-13,2021-02-01,0,0,290-**-*****,2021-02-02 02:00,2021-02-03 02:00,Y,Y,2021-02-02
36734546,http://www.jobkorea.co.kr/Recruit/Co_Read/C/wj1101?Oem_Code=C900&api=232,㈜우주아이텍,영업부 기술영업(일반)정규직 모집 공고,,관계없음,,0,연봉,3200만원 ~ 3400만원,3200;3400,Y,대졸(4년),상사;일본어,,잡코리아 온라인 접수,정규직,1,면접 후 결정; 팀원,용인시 기흥구,2021-02-14,http://www.jobkorea.co.kr/Recruit/GI_Read/33194176?Oem_Code=C900&api=232,,2020-11-16,2021-02-02,0,0,220-**-*****,2021-02-03 02:00,2021-02-03 02:00,Y,N,2021-02-03
36753317,http://www.jobkorea.co.kr/Recruit/Co_Read/C/wisestone0?Oem_Code=C900&api=232,㈜와이즈스톤,[와이즈스톤/평택] 소프트웨어 QA 엔지니어 신입채용(통근버스),,신입,,0,회사 내규에 따름,,0;0,Y,대졸(2~3년),임베디드;테스트엔지니어;소프트웨어테스트;테스트 엔지니어;CSTS;ISTQB;IT;IT컨설팅;검증;테스터;QA,,잡코리아 온라인 접수,정규직,○,사원급     ,평택시; 수원시 권선구; 수원시 장안구; 수원시 팔달구; 경기도 전지역; 오산시,2021-02-16,http://www.jobkorea.co.kr/Recruit/GI_Read/33214747?Oem_Code=C900&api=232,,2020-11-18,2021-02-02,0,0,220-**-*****,2021-02-03 02:00,2021-02-03 02:00,Y,N,2021-02-03
36764614,http://www.jobkorea.co.kr/Recruit/Co_Read/C/sj1821?Oem_Code=C900&api=232,㈜삼중,국내영업(기술영업) 경력사원 모집(차장-부장급),,경력,5년 이상,5,회사 내규에 따름,,0;0,Y,고졸,화학;국내영업;기술영업;거래선개발관리;거래처관리;영업관리;채권관리,,잡코리아 온라인 접수,정규직,○,부장급 ,고양시 덕양구; 고양시 일산동구; 고양시 일산서구; 김포시; 서대문구,2021-02-17,http://www.jobkorea.co.kr/Recruit/GI_Read/33227367?Oem_Code=C900&api=232,,2020-11-19,2021-02-02,0,0,139-**-*****,2021-02-03 02:01,2021-02-03 02:01,Y,N,2021-02-03
36789129,http://www.jobkorea.co.kr/Recruit/Co_Read/C/kyungki10?Oem_Code=C900&api=232,㈜케이직업교육,[한쿡외식문화학원] 요리 정규직 강사님 채용,,경력,1년 이상,1,회사 내규에 따름,,0;0,Y,학력무관,직업전문학교;요리;직업훈련교사;전문직업강사,,잡코리아 온라인 접수,정규직,1,사원급     ,용인시 기흥구,2021-02-21,http://www.jobkorea.co.kr/Recruit/GI_Read/33255200?Oem_Code=C900&api=232,,2020-11-23,2021-02-01,0,0,320-**-*****,2021-02-02 02:00,2021-02-03 02:00,Y,Y,2021-02-02
36807700,http://www.jobkorea.co.kr/Recruit/Co_Read/C/kwinc0909?Oem_Code=C900&api=232,광우정보통신,임베디드 어플리케이션 개발자 모집,,신입/경력,2년 이상,2,월급,200만원,200;0,Y,대졸(4년),통신;POS;Firmware;Application;C;Embedded;펌웨어;소프트웨어,,잡코리아 온라인 접수,정규직,○,사원급; 주임~대리급,안양시 동안구,2021-02-23,http://www.jobkorea.co.kr/Recruit/GI_Read/33275823?Oem_Code=C900&api=232,,2020-11-25,2021-02-01,0,0,214-**-*****,2021-02-02 02:00,2021-02-03 02:00,Y,Y,2021-02-02
36815291,http://www.jobkorea.co.kr/Recruit/Co_Read/C/osung2014?Oem_Code=C900&api=232,㈜오성기업,이형지 이형필름 영업부 신입 및 경력사원 모집,,관계없음,,0,회사 내규에 따름,,0;0,N,대졸(4년),영업;㈜오성기업;제지;기술영업,,잡코리아 온라인 접수; E-메일 입사지원,정규직,○,,김포시; 고양시 덕양구; 고양시 일산동구; 고양시 일산서구; 계양구,2021-02-24,http://www.jobkorea.co.kr/Recruit/GI_Read/33284036?Oem_Code=C900&api=232,,2020-11-26,2021-02-02,0,0,136-**-*****,2021-02-03 02:00,2021-02-03 02:00,Y,N,2021-02-03
36819636,http://www.jobkorea.co.kr/Recruit/Co_Read/C/smcts?Oem_Code=C900&api=232,과천예일의원,과천시] 간호 조무사 모집,,관계없음,,0,연봉,2000만원 ~ 2400만원,2000;2400,Y,학력무관,간호조무;간호조무사,,잡코리아 온라인 접수; E-메일 입사지원; 방문접수,정규직,○,,과천시     ,2021-02-24,http://www.jobkorea.co.kr/Recruit/GI_Read/33288914?Oem_Code=C900&api=232,,2020-11-26,2021-02-02,0,0,138-**-*****,2021-02-03 02:01,2021-02-03 02:01,Y,N,2021-02-03
36835509,http://www.jobkorea.co.kr/Recruit/Co_Read/C/butjoeun?Oem_Code=C900&api=232,더조은컴퓨터아카데미,[퍼스트아카데미-부천점] 베이킹;제과제빵;디저트 평일/주말 강사 채용,,관계없음,,0,회사 내규에 따름,,0;0,Y,대졸(2~3년),제과기능사;제빵기능사;제빵강의;제과제빵강의;제과강의;기능학원;IT학원;베이커리;제빵사;파티쉐;요리;직업훈련교사,,잡코리아 온라인 접수,정규직; 프리랜서,○,,,2021-02-28,http://www.jobkorea.co.kr/Recruit/GI_Read/33307358?Oem_Code=C900&api=232,,2020-11-30,2021-02-01,0,0,657-**-*****,2021-02-02 02:00,2021-02-03 02:00,Y,Y,2021-02-02
