분석인덱스,수집년월,키워드명,단어빈도,단어중요도,연결정도중심성,매개중심성
1,2010-01-01,경기도,36,0.028,0.6363,0.4909
2,2010-01-01,남양주,7,0.0225,0.1818,0.1272
3,2010-01-01,포천,3,0.0217,0.0909,0
4,2010-01-01,광주,3,0.02,0.0909,0
5,2010-01-01,양평,2,0.0214,0.0909,0
6,2010-01-01,가평,2,0.0425,0.0909,0
7,2010-01-01,평택,1,0.0166,0.1818,0.0181
8,2010-01-01,용인,1,0.0166,0.0909,0
9,2010-01-01,수원,1,0.0166,0.0909,0
10,2010-01-01,부천,1,0.0217,0.0909,0
11,2010-01-01,파주,1,0.0243,0.0909,0
12,2010-01-01,구리,1,0.0285,0.0909,0
13,2010-02-01,경기도,60,0.0257,0.6538,0.7625
14,2010-02-01,시장,10,0.0299,0.0769,0.0025
15,2010-02-01,남양주,6,0.035,0.1153,0.0353
16,2010-02-01,부동산,6,0.0396,0.0769,0.0287
17,2010-02-01,인천,6,0.0228,0.0384,0
18,2010-02-01,성남,5,0.0222,0.0769,0
19,2010-02-01,용인,5,0.0226,0.1153,0.1615
20,2010-02-01,수원,4,0.022,0.1538,0.0748
21,2010-02-01,평택,4,0.0344,0.0769,0.0287
22,2010-02-01,강원도,3,0.0228,0.0769,0.0707
23,2010-02-01,광주,2,0.0267,0.1153,0.0707
24,2010-02-01,화성,2,0.0287,0.0769,0.0025
25,2010-02-01,파주,2,0.0292,0.0769,0.1353
26,2010-02-01,고양,2,0.0208,0.0384,0
27,2010-02-01,광명,1,0.0263,0.0384,0
28,2010-02-01,가평,1,0.0243,0.0384,0
29,2010-02-01,의왕,1,0.0263,0.0384,0
30,2010-02-01,의정부,1,0.0263,0.0769,0.0707
31,2010-02-01,동두천,1,0.0263,0.0769,0.0046
32,2010-02-01,원주,1,0.0238,0.0384,0
33,2010-02-01,하남,1,0.0277,0.0384,0
34,2010-02-01,안성,1,0.0232,0.0384,0
35,2010-02-01,안산,1,0.0232,0.0384,0
36,2010-02-01,양평,1,0.0212,0.0384,0
37,2010-02-01,과천,1,0.0238,0.0384,0
38,2010-02-01,아산시,1,0.0312,0.0384,0
39,2010-02-01,오산,1,0.0263,0.0769,0.0707
40,2010-03-01,경기도,63,0.024,0.7,0.621
41,2010-03-01,시장,9,0.0222,0.05,0
42,2010-03-01,인천,6,0.0283,0.05,0
43,2010-03-01,성남,5,0.0583,0.05,0
44,2010-03-01,고양,5,0.0204,0.1,0.0789
45,2010-03-01,부동산,4,0.0213,0.05,0
46,2010-03-01,광주,3,0.0402,0.05,0
