분석인덱스,수집년월,키워드명,단어빈도,단어중요도,연결정도중심성,매개중심성
1,2010-01,중국어,6,0.0938,1.0,0.0
2,2010-01,자전거,1,0.0189,0.5,0.0
3,2010-01,여행,1,0.0189,0.5,0.0
4,2010-02,게,9,0.0208,1.0,0.0
5,2010-02,가지,2,0.0199,1.0,0.0
6,2010-04,중국어,7,0.0803,1.0,0.0
7,2010-04,관광,1,0.0208,0.5,0.0
8,2010-04,레저,1,0.0208,0.5,0.0
9,2010-05,미술,1,0.0208,1.0,0.0
10,2010-05,수업,1,0.0208,1.0,0.0
11,2010-07,교육,3,0.0356,1.0,0.0
12,2010-07,과학,2,0.05,1.0,0.0
13,2010-08,교육,6,0.0263,0.5,0.0
14,2010-08,중국어,4,0.0552,1.0,0.0
15,2010-08,과학,2,0.0513,0.5,0.0
16,2010-09,교육,4,0.034,1.0,0.0
17,2010-09,과학,2,0.0526,1.0,0.0
18,2010-10,지갑,8,0.1455,1.0,0.0
19,2010-10,카드,2,0.0195,1.0,0.0
20,2010-11,댄스,2,0.04,0.3333,0.0
21,2010-11,발급,1,0.0182,0.3333,0.0
22,2010-11,신청,1,0.0182,0.3333,0.0
23,2010-11,부천페이,1,0.02,0.3333,0.0
24,2010-12,댄스,2,0.0377,1.0,0.0
25,2010-12,부천페이,2,0.0187,1.0,0.0
26,2011-01,중국어,3,0.1034,1.0,0.0
27,2011-03,중국어,3,0.1,1.0,0.0
28,2011-03,상품,2,0.0357,0.5,0.0
29,2011-03,구매,1,0.0179,0.5,0.0
30,2011-04,신청,2,0.0198,0.3333,0.0
31,2011-04,발급,1,0.0192,0.3333,0.0
32,2011-04,피아노,1,0.0222,0.3333,0.0
33,2011-04,레슨,1,0.0222,0.3333,0.0
34,2011-05,요리,4,0.1111,1.0,0.0
35,2011-05,음식,1,0.0278,1.0,0.0
36,2011-06,회,6,0.0214,0.3333,0.0
37,2011-06,TV,3,0.06,0.6667,0.0
38,2011-06,한식,1,0.0227,0.6667,0.3333
39,2011-06,반찬,1,0.0227,0.3333,0.0
40,2011-07,수박,1,0.0244,1.0,0.0
41,2011-07,토마토,1,0.0244,1.0,0.0
42,2011-08,게,11,0.0225,0.2,0.0
43,2011-08,김치,5,0.122,0.2,0.0
44,2011-08,여행,3,0.0201,0.2,0.0
45,2011-08,자전거,2,0.0198,0.2,0.0
46,2011-08,가지,2,0.0203,0.2,0.0
47,2011-08,음식,2,0.0488,0.2,0.0
48,2011-09,중국어,3,0.1111,1.0,0.0
49,2011-10,상품,2,0.0198,1.0,0.0
50,2011-10,관광,1,0.0196,1.0,0.0
51,2011-11,교육,5,0.0574,0.1667,0.0
52,2011-11,과학,4,0.0518,0.3333,0.0667
53,2011-11,여행,3,0.0216,0.1667,0.0
54,2011-11,레저,1,0.0167,0.1667,0.0
55,2011-11,시계,1,0.0278,0.1667,0.0
56,2011-11,담배,1,0.0278,0.1667,0.0
57,2011-11,수학,1,0.0286,0.1667,0.0
58,2011-12,아이스크림,6,0.0244,0.1667,0.0
59,2011-12,샌드위치,6,0.0244,0.1667,0.0
60,2011-12,상품,5,0.0349,0.1667,0.0
61,2011-12,생활,2,0.0223,0.1667,0.0
62,2011-12,티켓,2,0.0208,0.1667,0.0
63,2011-12,뷰티,1,0.0208,0.3333,0.0667
64,2011-12,미용,1,0.0208,0.1667,0.0
65,2012-01,교육,4,0.0325,0.3333,0.0
66,2012-01,생활,4,0.0261,0.3333,0.0
67,2012-01,양말,1,0.0227,0.3333,0.0
68,2012-01,선물,1,0.0227,0.3333,0.0
69,2012-02,중국어,3,0.1,1.0,0.0
70,2012-03,운동,1,0.0185,1.0,1.0
71,2012-03,지역화폐,1,0.0185,0.5,0.0
72,2012-03,생활,1,0.0185,0.5,0.0
73,2012-08,티켓,1,0.0217,0.25,0.0
74,2012-08,구매,1,0.0217,0.25,0.0
75,2012-08,순두부,1,0.0217,0.5,0.1667
76,2012-08,한정식,1,0.0217,0.25,0.0
77,2012-08,갈비,1,0.0217,0.25,0.0
78,2012-09,중국어,5,0.0788,0.5,0.0
79,2012-09,상품,2,0.0223,0.25,0.0
80,2012-09,구매,2,0.0217,0.25,0.0
81,2012-09,과학,1,0.0222,0.25,0.0
82,2012-09,교육,1,0.0222,0.25,0.0
83,2012-11,게,13,0.0232,1.0,0.0
