index,년월,시도명,시군구명,연령대코드,결제상품명,사용빈도
2,2019-04-01,경기도,가평군,20,가평사랑상품권,3
3,2019-04-01,경기도,가평군,30,가평사랑상품권,37
5,2019-04-01,경기도,가평군,40,가평사랑상품권,23
6,2019-04-01,경기도,가평군,50,가평사랑상품권,85
8,2019-04-01,경기도,가평군,60,가평사랑상품권,2
10,2019-04-01,경기도,고양시 덕양구,20,고양페이카드,21
14,2019-04-01,경기도,고양시 덕양구,30,고양페이카드,39
16,2019-04-01,경기도,고양시 덕양구,40,고양페이카드,58
19,2019-04-01,경기도,고양시 덕양구,50,고양페이카드,64
23,2019-04-01,경기도,고양시 일산동구,10,고양페이카드,4
24,2019-04-01,경기도,고양시 일산동구,20,고양페이카드,19
25,2019-04-01,경기도,고양시 일산동구,30,고양페이카드,40
27,2019-04-01,경기도,고양시 일산동구,40,고양페이카드,30
28,2019-04-01,경기도,고양시 일산동구,50,고양페이카드,26
30,2019-04-01,경기도,고양시 일산동구,60,고양페이카드,4
647,2019-05-01,경기도,고양시 일산동구,10,고양페이카드,44
649,2019-05-01,경기도,고양시 일산동구,20,고양페이카드,213
31,2019-04-01,경기도,고양시 일산서구,20,고양페이카드,8
37,2019-04-01,경기도,고양시 일산서구,30,고양페이카드,20
39,2019-04-01,경기도,고양시 일산서구,40,고양페이카드,37
44,2019-04-01,경기도,고양시 일산서구,50,고양페이카드,39
48,2019-04-01,경기도,고양시 일산서구,60,고양페이카드,5
53,2019-04-01,경기도,고양시 일산서구,70,고양페이카드,1
660,2019-05-01,경기도,고양시 일산서구,10,고양페이카드,26
661,2019-05-01,경기도,고양시 일산서구,20,고양페이카드,150
663,2019-05-01,경기도,고양시 일산서구,30,고양페이카드,500
665,2019-05-01,경기도,고양시 일산서구,40,고양페이카드,674
668,2019-05-01,경기도,고양시 일산서구,50,고양페이카드,440
669,2019-05-01,경기도,고양시 일산서구,60,고양페이카드,96
670,2019-05-01,경기도,고양시 일산서구,70,고양페이카드,14
973,2019-06-01,경기도,고양시 일산서구,10,고양페이카드,72
974,2019-06-01,경기도,고양시 일산서구,20,고양페이카드,434
976,2019-06-01,경기도,고양시 일산서구,30,고양페이카드,1075
977,2019-06-01,경기도,고양시 일산서구,40,고양페이카드,1534
978,2019-06-01,경기도,고양시 일산서구,50,고양페이카드,886
979,2019-06-01,경기도,고양시 일산서구,60,고양페이카드,208
980,2019-06-01,경기도,고양시 일산서구,70,고양페이카드,14
54,2019-04-01,경기도,과천시,20,과천화폐 과천토리,15
55,2019-04-01,경기도,과천시,30,과천화폐 과천토리,25
61,2019-04-01,경기도,과천시,40,과천화폐 과천토리,74
65,2019-04-01,경기도,과천시,50,과천화폐 과천토리,36
66,2019-04-01,경기도,과천시,60,과천화폐 과천토리,3
67,2019-04-01,경기도,과천시,70,과천화폐 과천토리,1
671,2019-05-01,경기도,과천시,10,과천화폐 과천토리,3
68,2019-04-01,경기도,광명시,10,광명사랑화폐,21
69,2019-04-01,경기도,광명시,20,광명사랑화폐,233
70,2019-04-01,경기도,광명시,30,광명사랑화폐,503
71,2019-04-01,경기도,광명시,40,광명사랑화폐,1504
72,2019-04-01,경기도,광명시,50,광명사랑화폐,1220
73,2019-04-01,경기도,광명시,60,광명사랑화폐,154
